+C Avg. Runtime	+C lower CI	+C upper CI
1429	1414.0	1444.0
-C Avg. Runtime	-C lower CI	-C upper CI
556	552.0	560.0

Trail	C+ Runtime	C- Runtime
0	1395	548
1	1468	557
2	1405	552
3	1480	554
4	1375	553
5	1449	552
6	1369	572
7	1462	613
8	1398	550
9	1450	552
10	1467	551
11	1394	553
12	1367	571
13	1414	550
14	1408	551
15	1447	551
16	1397	555
17	1424	553
18	1374	550
19	1422	548
20	1478	559
21	1459	557
22	1375	561
23	1460	559
24	1437	552
25	1445	551
26	1414	549
27	1551	552
28	1477	552
29	1410	553
