+C Avg. Runtime	+C lower CI	+C upper CI
45772	45622.0	45921.0
-C Avg. Runtime	-C lower CI	-C upper CI
3636	3619.0	3654.0

Trail	C+ Runtime	C- Runtime
0	46031	3681
1	45865	3602
2	46213	3688
3	46211	3665
4	45777	3580
5	45504	3681
6	45155	3624
7	45691	3580
8	45832	3582
9	45987	3588
10	46122	3693
11	45485	3599
12	45327	3592
13	45225	3616
14	45542	3613
15	45874	3670
16	44793	3668
17	45568	3583
18	46352	3582
19	46155	3714
20	46402	3773
21	46546	3667
22	45799	3631
23	46429	3596
24	45316	3701
25	45692	3624
26	45456	3585
27	45894	3640
28	45323	3668
29	45582	3606
