+C Avg. Runtime	+C lower CI	+C upper CI
102053	101495.0	102611.0
-C Avg. Runtime	-C lower CI	-C upper CI
3511	3495.0	3526.0

Trail	C+ Runtime	C- Runtime
0	103077	3526
1	102860	3473
2	100897	3487
3	99789	3566
4	99325	3489
5	99706	3487
6	101413	3441
7	103270	3549
8	102723	3454
9	103794	3559
10	103147	3481
11	104088	3523
12	100021	3554
13	102360	3481
14	101692	3455
15	102101	3468
16	103196	3548
17	102427	3548
18	101709	3483
19	104871	3625
20	102783	3472
21	100514	3466
22	102077	3480
23	102313	3566
24	99238	3498
25	100921	3489
26	104050	3514
27	102859	3561
28	99902	3566
29	104468	3516
